Date,Time,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
2022-5-10-12:53 AM,12:53 AM,71,61,70,S,14,0,29.36,0,Fair
2022-5-10-1:53 AM,1:53 AM,70,61,73,S,15,21,29.37,0,Fair
2022-5-10-2:53 AM,2:53 AM,69,61,75,S,9,0,29.39,0,Fair
2022-5-10-3:53 AM,3:53 AM,69,62,78,S,3,0,29.42,0,Cloudy
2022-5-10-4:53 AM,4:53 AM,68,62,81,SE,5,0,29.45,0,Cloudy
2022-5-10-5:53 AM,5:53 AM,68,62,81,SSE,7,0,29.45,0,Cloudy
2022-5-10-6:53 AM,6:53 AM,68,62,81,SSE,8,0,29.46,0,Cloudy
2022-5-10-7:53 AM,7:53 AM,69,63,81,S,9,0,29.47,0,Cloudy
2022-5-10-8:53 AM,8:53 AM,71,64,78,S,9,0,29.48,0,Cloudy
2022-5-10-9:53 AM,9:53 AM,73,65,76,S,12,0,29.49,0,Cloudy
2022-5-10-10:53 AM,10:53 AM,76,67,74,S,14,21,29.49,0,Mostly Cloudy
2022-5-10-11:53 AM,11:53 AM,80,69,69,S,13,0,29.49,0,Fair
2022-5-10-12:53 PM,12:53 PM,82,70,67,S,13,0,29.48,0,Fair
2022-5-10-1:53 PM,1:53 PM,83,70,65,SSW,10,0,29.47,0,Mostly Cloudy
2022-5-10-2:53 PM,2:53 PM,85,71,63,SSW,13,0,29.46,0,Partly Cloudy
2022-5-10-3:53 PM,3:53 PM,87,72,61,SSW,10,0,29.44,0,Mostly Cloudy
2022-5-10-4:53 PM,4:53 PM,87,71,59,S,14,22,29.43,0,Fair
2022-5-10-5:53 PM,5:53 PM,86,70,59,S,13,0,29.43,0,Mostly Cloudy
2022-5-10-6:53 PM,6:53 PM,86,70,59,S,15,0,29.43,0,Mostly Cloudy
2022-5-10-7:53 PM,7:53 PM,84,70,63,S,12,0,29.43,0,Fair
2022-5-10-8:53 PM,8:53 PM,80,70,71,S,6,0,29.44,0,Fair
2022-5-10-9:53 PM,9:53 PM,76,69,79,S,3,0,29.46,0,Fair
2022-5-10-10:53 PM,10:53 PM,76,69,79,S,5,0,29.47,0,Fair
2022-5-10-11:53 PM,11:53 PM,73,68,84,SSE,3,0,29.47,0,Fair
2022-5-11-12:53 AM,12:53 AM,72,69,91,CALM,0,0,29.48,0,Mostly Cloudy
2022-5-11-1:53 AM,1:53 AM,73,69,87,ESE,3,0,29.48,0,Cloudy
2022-5-11-2:53 AM,2:53 AM,73,69,87,SE,6,0,29.47,0,Cloudy
2022-5-11-3:53 AM,3:53 AM,74,70,87,SSE,5,0,29.48,0,Cloudy
2022-5-11-4:53 AM,4:53 AM,73,69,87,SE,3,0,29.5,0,Cloudy
2022-5-11-5:53 AM,5:53 AM,74,69,85,SE,7,0,29.5,0,Cloudy
2022-5-11-6:53 AM,6:53 AM,73,69,87,SSE,7,0,29.52,0,Mostly Cloudy
2022-5-11-7:53 AM,7:53 AM,73,69,87,SSE,5,0,29.54,0,Fair
2022-5-11-8:53 AM,8:53 AM,75,70,84,SSE,6,0,29.55,0,Partly Cloudy
2022-5-11-9:53 AM,9:53 AM,79,71,77,SSW,5,0,29.55,0,Partly Cloudy
2022-5-11-10:53 AM,10:53 AM,81,72,74,S,6,0,29.53,0,Fair
2022-5-11-11:53 AM,11:53 AM,84,73,69,SW,7,0,29.53,0,Fair
2022-5-11-12:53 PM,12:53 PM,86,73,65,VAR,3,0,29.52,0,Fair
2022-5-11-1:53 PM,1:53 PM,88,74,63,SE,5,0,29.51,0,Partly Cloudy
2022-5-11-2:53 PM,2:53 PM,89,73,59,ESE,6,0,29.5,0,Mostly Cloudy
2022-5-11-3:53 PM,3:53 PM,88,71,57,SE,9,0,29.48,0,Partly Cloudy
2022-5-11-4:53 PM,4:53 PM,89,71,55,S,5,0,29.47,0,Fair
2022-5-11-5:53 PM,5:53 PM,89,69,52,SE,5,0,29.46,0,Fair
2022-5-11-6:53 PM,6:53 PM,88,71,57,SE,7,0,29.46,0,Fair
2022-5-11-7:53 PM,7:53 PM,85,70,61,SE,5,0,29.46,0,Fair
2022-5-11-8:53 PM,8:53 PM,81,70,69,ESE,3,0,29.46,0,Fair
2022-5-11-9:53 PM,9:53 PM,78,69,74,ESE,6,0,29.48,0,Fair
2022-5-11-10:53 PM,10:53 PM,77,69,76,SE,7,0,29.47,0,Fair
2022-5-11-11:53 PM,11:53 PM,74,68,82,CALM,0,0,29.48,0,Fair
2022-5-12-12:53 AM,12:53 AM,72,67,84,CALM,0,0,29.48,0,Fair
2022-5-12-1:53 AM,1:53 AM,70,67,90,CALM,0,0,29.48,0,Fair
2022-5-12-2:53 AM,2:53 AM,70,66,87,ENE,3,0,29.49,0,Fair
2022-5-12-3:53 AM,3:53 AM,69,66,90,E,3,0,29.48,0,Fair
2022-5-12-4:53 AM,4:53 AM,69,65,87,E,5,0,29.49,0,Partly Cloudy
2022-5-12-5:53 AM,5:53 AM,68,63,84,E,5,0,29.49,0,Fair
2022-5-12-6:53 AM,6:53 AM,67,61,81,E,6,0,29.49,0,Fair
2022-5-12-7:53 AM,7:53 AM,69,60,73,SE,6,0,29.5,0,Fair
2022-5-12-8:53 AM,8:53 AM,73,58,59,SSE,7,0,29.51,0,Fair
2022-5-12-9:53 AM,9:53 AM,77,56,48,SE,10,0,29.51,0,Fair
2022-5-12-10:53 AM,10:53 AM,80,55,42,SE,10,0,29.5,0,Fair
2022-5-12-11:53 AM,11:53 AM,82,55,39,SE,6,0,29.51,0,Fair
2022-5-12-12:53 PM,12:53 PM,85,54,34,SSE,9,0,29.5,0,Fair
2022-5-12-1:53 PM,1:53 PM,86,53,32,SSE,12,0,29.47,0,Fair
2022-5-12-2:53 PM,2:53 PM,87,49,27,ESE,8,18,29.45,0,Fair
2022-5-12-3:53 PM,3:53 PM,87,51,29,SE,8,0,29.43,0,Fair
2022-5-12-4:53 PM,4:53 PM,86,53,32,E,9,0,29.42,0,Fair
2022-5-12-5:53 PM,5:53 PM,86,51,30,SE,8,0,29.4,0,Fair
2022-5-12-6:53 PM,6:53 PM,84,53,34,ESE,7,0,29.39,0,Fair
2022-5-12-7:53 PM,7:53 PM,81,54,39,SSE,5,0,29.37,0,Fair
2022-5-12-8:53 PM,8:53 PM,77,54,45,SE,3,0,29.38,0,Fair
2022-5-12-9:53 PM,9:53 PM,68,60,76,CALM,0,0,29.38,0,Fair
2022-5-12-10:53 PM,10:53 PM,65,59,81,E,3,0,29.39,0,Fair
2022-5-12-11:53 PM,11:53 PM,64,58,80,E,3,0,29.38,0,Fair
2022-5-13-12:53 AM,12:53 AM,65,53,65,ESE,6,0,29.39,0,Fair
2022-5-13-1:53 AM,1:53 AM,64,53,67,ESE,6,0,29.39,0,Fair
2022-5-13-2:53 AM,2:53 AM,65,53,65,E,5,0,29.38,0,Fair
2022-5-13-3:53 AM,3:53 AM,60,53,78,E,3,0,29.38,0,Fair
2022-5-13-4:53 AM,4:53 AM,58,53,84,CALM,0,0,29.37,0,Fair
2022-5-13-5:53 AM,5:53 AM,60,54,80,ENE,3,0,29.37,0,Fair
2022-5-13-6:53 AM,6:53 AM,59,54,83,CALM,0,0,29.38,0,Fair
2022-5-13-7:53 AM,7:53 AM,64,57,78,CALM,0,0,29.38,0,Fair
2022-5-13-8:53 AM,8:53 AM,71,58,63,SSE,7,0,29.39,0,Fair
2022-5-13-9:53 AM,9:53 AM,75,60,60,SSE,8,0,29.39,0,Fair
2022-5-13-10:53 AM,10:53 AM,78,61,56,SE,8,0,29.37,0,Fair
2022-5-13-11:53 AM,11:53 AM,82,61,49,SE,5,0,29.38,0,Fair
2022-5-13-12:53 PM,12:53 PM,85,59,41,S,7,0,29.38,0,Fair
2022-5-13-1:53 PM,1:53 PM,86,59,40,S,3,0,29.37,0,Fair
2022-5-13-2:53 PM,2:53 PM,87,57,36,VAR,3,0,29.35,0,Fair
2022-5-13-3:53 PM,3:53 PM,87,57,36,S,10,18,29.32,0,Fair
2022-5-13-4:53 PM,4:53 PM,87,58,37,SE,9,0,29.3,0,Fair
2022-5-13-5:53 PM,5:53 PM,87,57,36,CALM,0,0,29.3,0,Fair
2022-5-13-6:53 PM,6:53 PM,85,57,38,SSE,9,0,29.28,0,Fair
2022-5-13-7:53 PM,7:53 PM,83,60,46,SE,6,0,29.25,0,Fair
2022-5-13-8:53 PM,8:53 PM,79,59,50,ESE,8,0,29.23,0,Fair
2022-5-13-9:53 PM,9:53 PM,75,60,60,SE,6,0,29.26,0,Fair
2022-5-13-10:53 PM,10:53 PM,69,62,78,CALM,0,0,29.31,0,Fair
2022-5-13-11:53 PM,11:53 PM,67,61,81,ENE,3,0,29.33,0,Fair
2022-5-14-12:53 AM,12:53 AM,67,61,81,E,3,0,29.32,0,Partly Cloudy
2022-5-14-1:53 AM,1:53 AM,66,61,84,CALM,0,0,29.31,0,Fair
2022-5-14-2:53 AM,2:53 AM,65,61,87,CALM,0,0,29.3,0,Fair
2022-5-14-3:53 AM,3:53 AM,64,60,87,CALM,0,0,29.29,0,Fair
2022-5-14-4:53 AM,4:53 AM,65,59,81,SE,5,0,29.29,0,Fair
2022-5-14-5:53 AM,5:53 AM,65,60,84,SE,6,0,29.29,0,Fair
2022-5-14-6:53 AM,6:53 AM,63,59,87,SE,5,0,29.28,0,Fair
2022-5-14-7:53 AM,7:53 AM,68,62,81,CALM,0,0,29.29,0,Fair
2022-5-14-8:53 AM,8:53 AM,72,62,71,CALM,0,0,29.31,0,Fair
2022-5-14-9:53 AM,9:53 AM,76,64,67,CALM,0,0,29.31,0,Fair
