Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
21,15.3,6,17,8.8,-6,93,76.0,58,22,12.2,0,29.8,29.7,29.6,0.00,1999-1-1
26,22.4,18,25,20.8,16,100,93.5,86,31,19.9,7,29.6,29.1,28.8,0.00,1999-1-2
25,14.0,5,24,9.4,0,96,81.8,71,21,17.4,14,29.3,29.0,28.7,0.00,1999-1-3
5,-0.2,-9,0,-6.9,-15,85,73.5,60,13,11.8,9,29.7,29.5,29.3,0.00,1999-1-4
18,1.4,-15,16,-4.0,-21,93,78.3,60,15,10.1,6,29.7,29.5,29.2,0.00,1999-1-5
21,16.8,2,19,12.8,-6,100,84.3,61,18,12.3,6,29.6,29.3,29.2,0.00,1999-1-6
9,2.6,-7,1,-7.6,-14,76,63.4,50,14,6.2,0,29.8,29.7,29.6,0.00,1999-1-7
22,16.0,10,19,12.1,-2,100,85.1,58,18,8.9,0,29.6,29.4,29.3,0.00,1999-1-8
12,5.0,-4,7,-3.0,-10,84,70.5,53,16,11.0,6,29.6,29.5,29.4,0.00,1999-1-9
13,6.8,-1,8,-1.7,-11,84,68.8,58,23,15.5,9,29.6,29.4,29.3,0.00,1999-1-10
13,4.5,-3,9,0.2,-12,92,82.4,63,14,8.9,0,29.6,29.3,29.0,0.00,1999-1-11
27,17.8,10,24,13.9,5,93,84.1,77,18,8.8,3,29.3,29.2,29.1,0.00,1999-1-12
25,21.0,16,21,16.2,9,93,81.7,73,25,19.9,14,29.7,29.5,29.3,0.00,1999-1-13
20,17.9,16,16,12.7,8,88,80.3,71,15,5.9,0,29.7,29.5,29.4,0.00,1999-1-14
30,21.5,16,29,19.5,12,100,92.4,79,15,7.6,0,29.4,29.3,29.0,0.00,1999-1-15
40,34.0,21,31,28.4,0,96,84.9,68,17,10.1,0,29.3,29.1,29.0,0.00,1999-1-16
41,32.0,15,41,30.3,0,100,97.0,86,17,8.5,0,29.3,29.0,28.8,0.00,1999-1-17
36,32.3,22,34,24.6,0,93,81.2,66,25,17.9,12,29.2,28.9,28.8,0.00,1999-1-18
34,27.2,19,29,20.4,9,100,75.9,58,17,6.8,0,29.4,29.3,29.2,0.00,1999-1-19
40,28.7,19,31,23.1,0,100,94.5,70,9,4.0,0,29.4,29.3,29.2,0.00,1999-1-20
41,36.6,33,34,26.7,0,96,86.3,73,18,12.6,5,29.2,29.1,29.0,0.00,1999-1-21
46,41.9,37,46,41.9,37,100,99.9,97,15,6.1,0,29.0,29.0,28.9,0.00,1999-1-22
40,36.2,33,40,33.3,0,100,96.4,82,16,9.7,3,29.2,28.9,28.8,0.00,1999-1-23
34,33.3,31,33,27.6,0,100,87.9,82,13,7.3,0,29.4,29.4,29.2,0.00,1999-1-24
34,28.6,22,34,20.8,0,100,86.9,80,16,9.5,0,29.8,29.6,29.4,0.00,1999-1-25
39,30.2,19,33,18.0,0,92,76.7,55,13,7.1,0,29.7,29.6,29.3,0.00,1999-1-26
49,40.8,34,43,31.0,0,92,79.0,59,24,14.6,6,29.3,29.2,29.1,0.00,1999-1-27
34,33.1,31,28,27.1,25,85,78.5,72,15,10.2,5,29.7,29.5,29.3,0.00,1999-1-28
39,33.1,30,28,25.4,23,92,74.0,60,8,4.8,0,29.8,29.7,29.7,0.00,1999-1-29
43,35.4,26,33,26.5,0,92,75.4,51,16,9.2,0,29.9,29.8,29.8,0.00,1999-1-30
39,35.2,32,30,27.3,25,87,73.7,60,20,14.8,12,29.8,29.7,29.5,0.00,1999-1-31
44,39.8,35,42,37.7,33,99,92.3,79,12,7.7,5,29.5,29.3,29.1,0.00,1999-2-1
41,38.0,34,41,32.1,22,100,81.1,49,20,10.3,3,29.1,29.0,28.9,0.00,1999-2-2
45,40.9,35,40,27.3,21,96,59.4,42,23,15.9,9,29.1,29.0,28.9,0.00,1999-2-3
41,29.6,20,40,21.2,13,96,72.7,47,23,13.8,0,29.7,29.4,28.9,0.00,1999-2-4
43,32.2,20,31,23.0,0,85,72.8,64,16,10.8,3,29.7,29.4,29.1,0.00,1999-2-5
46,38.8,33,35,27.6,0,89,73.1,51,12,7.6,5,29.4,29.3,29.1,0.00,1999-2-6
37,33.8,29,31,29.6,28,96,84.8,76,14,9.1,3,29.3,29.1,29.1,0.00,1999-2-7
48,36.0,27,46,33.6,0,100,94.2,85,21,9.8,3,29.3,29.2,29.1,0.00,1999-2-8
53,43.8,34,47,28.4,0,97,62.6,30,17,9.5,0,29.4,29.3,29.2,0.00,1999-2-9
59,47.7,28,31,27.3,23,88,48.1,27,20,11.8,0,29.5,29.3,29.1,0.00,1999-2-10
70,56.1,28,61,50.0,20,94,80.7,62,35,20.5,12,29.1,28.9,28.7,0.00,1999-2-11
30,23.1,14,21,13.6,2,85,67.8,46,26,18.6,12,29.4,29.2,29.1,0.00,1999-2-12
32,23.4,14,18,11.0,3,81,60.4,42,16,9.6,3,29.8,29.7,29.5,0.00,1999-2-13
46,33.9,22,28,21.8,18,85,64.0,37,20,12.0,3,29.7,29.5,29.3,0.00,1999-2-14
55,44.6,34,36,30.8,26,75,59.5,40,22,13.3,9,29.3,29.2,29.1,0.00,1999-2-15
46,36.4,31,36,29.7,0,97,86.2,63,18,10.9,7,29.2,29.1,29.1,0.00,1999-2-16
31,29.0,24,23,20.3,18,84,70.3,61,16,9.2,0,29.3,29.3,29.2,0.00,1999-2-17
37,29.3,22,25,22.1,18,92,75.0,56,12,6.9,0,29.4,29.3,29.3,0.00,1999-2-18
32,28.6,24,26,21.4,18,88,74.7,64,12,8.3,3,29.5,29.4,29.3,0.00,1999-2-19
29,25.5,20,22,17.5,14,86,72.3,58,20,12.7,8,29.6,29.6,29.5,0.00,1999-2-20
34,27.4,23,20,15.6,11,78,62.2,43,16,10.4,6,29.8,29.7,29.7,0.00,1999-2-21
31,26.3,21,16,9.3,-2,71,50.1,26,16,9.1,3,29.8,29.7,29.6,0.00,1999-2-22
33,28.2,25,18,14.7,11,66,57.2,50,15,11.1,6,29.6,29.5,29.5,0.00,1999-2-23
34,29.2,21,30,25.0,15,100,85.3,56,16,7.1,0,29.6,29.4,29.3,0.00,1999-2-24
37,31.7,28,28,26.4,24,93,81.2,60,9,5.5,0,29.5,29.4,29.3,0.00,1999-2-25
46,36.7,25,31,26.9,0,93,72.3,51,20,11.2,3,29.5,29.4,29.1,0.00,1999-2-26
48,42.6,39,45,39.1,30,100,87.8,68,16,9.0,5,29.1,28.9,28.8,0.00,1999-2-27
40,37.2,35,36,28.8,0,96,84.0,70,22,16.4,9,29.0,28.9,28.8,0.00,1999-2-28
44,35.7,31,28,25.0,23,89,66.1,47,17,8.7,0,29.1,29.1,29.0,0.00,1999-3-1
43,37.9,30,40,32.1,0,93,86.5,70,20,10.7,5,29.1,29.0,28.9,0.00,1999-3-2
34,31.1,26,27,19.0,14,75,61.3,54,23,16.7,10,29.3,29.2,29.0,0.00,1999-3-3
36,30.1,23,24,18.3,9,78,63.1,34,13,8.2,0,29.4,29.4,29.4,0.00,1999-3-4
39,33.5,30,31,28.1,0,100,84.7,65,20,13.9,8,29.4,29.3,29.3,0.00,1999-3-5
30,25.6,20,28,20.6,11,93,82.1,63,24,17.3,8,29.9,29.6,29.3,0.00,1999-3-6
25,20.8,16,20,15.0,9,93,78.8,53,16,8.2,0,30.0,29.9,29.9,0.00,1999-3-7
30,26.2,21,27,18.6,6,100,74.9,51,24,18.8,13,29.9,29.6,29.3,0.00,1999-3-8
30,28.6,27,28,26.4,24,100,90.8,85,23,13.4,9,29.4,29.3,29.2,0.00,1999-3-9
33,28.4,24,25,21.0,17,93,75.0,54,17,10.9,5,29.6,29.5,29.4,0.00,1999-3-10
35,28.9,22,24,20.5,15,84,71.3,54,13,8.4,5,29.6,29.6,29.6,0.00,1999-3-11
36,29.5,22,24,19.5,13,89,68.8,41,13,7.8,5,29.7,29.7,29.6,0.00,1999-3-12
35,30.1,21,23,18.0,11,92,63.2,37,15,8.8,3,29.7,29.6,29.5,0.00,1999-3-13
37,32.5,28,23,18.8,13,78,58.3,40,20,12.0,5,29.4,29.4,29.4,0.00,1999-3-14
40,32.9,22,27,19.1,14,78,58.3,41,12,6.8,0,29.4,29.4,29.3,0.00,1999-3-15
51,43.0,34,39,29.6,23,74,60.0,47,17,10.9,3,29.3,29.1,29.0,0.00,1999-3-16
59,50.6,41,48,40.5,34,85,69.5,51,31,19.7,13,29.2,29.0,28.9,0.00,1999-3-17
45,38.2,32,29,27.0,24,78,65.4,44,21,13.3,6,29.7,29.5,29.2,0.00,1999-3-18
44,35.2,29,27,23.6,20,78,63.7,47,13,7.0,0,29.7,29.7,29.6,0.00,1999-3-19
53,41.0,26,31,25.8,0,92,60.3,39,18,7.5,0,29.6,29.4,29.2,0.00,1999-3-20
45,37.7,32,26,23.2,20,70,56.8,37,22,12.8,3,29.4,29.3,29.2,0.00,1999-3-21
44,33.8,27,25,21.2,17,82,61.2,40,13,7.9,0,29.4,29.4,29.4,0.00,1999-3-22
53,41.3,24,25,21.0,18,91,49.4,27,16,7.8,0,29.4,29.3,29.2,0.00,1999-3-23
42,35.8,28,28,22.0,16,78,58.6,38,15,8.9,0,29.5,29.4,29.2,0.00,1999-3-24
38,33.2,29,27,23.2,20,82,67.1,50,16,10.7,5,29.6,29.6,29.5,0.00,1999-3-25
44,36.0,26,28,25.8,24,92,68.1,49,10,5.6,0,29.7,29.6,29.6,0.00,1999-3-26
56,40.6,25,30,26.3,24,100,62.5,29,12,5.4,0,29.6,29.5,29.4,0.00,1999-3-27
53,44.6,31,45,33.3,0,89,69.8,38,18,10.2,5,29.4,29.4,29.3,0.00,1999-3-28
61,49.3,38,40,24.5,12,89,46.4,18,20,9.9,0,29.6,29.5,29.5,0.00,1999-3-29
