Date,Time,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
1999-1-1-1:56 AM,1:56 AM,12ʡF,5ʡF,73ʡ%,NW,9ʡmph,0ʡmph,29.56ʡin,0.0ʡin,Mostly Cloudy
1999-1-1-2:56 AM,2:56 AM,13ʡF,7ʡF,77ʡ%,N,9ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Cloudy
1999-1-1-3:56 AM,3:56 AM,9ʡF,0ʡF,67ʡ%,N,13ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Mostly Cloudy
1999-1-1-4:02 AM,4:02 AM,9ʡF,1ʡF,73ʡ%,N,10ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Partly Cloudy
1999-1-1-4:56 AM,4:56 AM,7ʡF,-2ʡF,67ʡ%,N,8ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Partly Cloudy
1999-1-1-5:56 AM,5:56 AM,6ʡF,-3ʡF,67ʡ%,N,6ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Partly Cloudy
1999-1-1-6:56 AM,6:56 AM,6ʡF,-6ʡF,58ʡ%,N,10ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Partly Cloudy
1999-1-1-7:56 AM,7:56 AM,6ʡF,-4ʡF,63ʡ%,N,7ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy
1999-1-1-8:56 AM,8:56 AM,7ʡF,-5ʡF,58ʡ%,NW,8ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Mostly Cloudy
1999-1-1-9:56 AM,9:56 AM,8ʡF,-1ʡF,67ʡ%,NNW,8ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Mostly Cloudy
1999-1-1-10:56 AM,10:56 AM,11ʡF,4ʡF,73ʡ%,N,9ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Cloudy
1999-1-1-11:56 AM,11:56 AM,13ʡF,7ʡF,77ʡ%,NNE,8ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Mostly Cloudy
1999-1-1-12:56 PM,12:56 PM,16ʡF,9ʡF,74ʡ%,CALM,0ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Cloudy
1999-1-1-1:56 PM,1:56 PM,19ʡF,12ʡF,74ʡ%,NW,6ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Cloudy
1999-1-1-2:00 PM,2:00 PM,18ʡF,12ʡF,79ʡ%,NNW,6ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Cloudy
1999-1-1-2:40 PM,2:40 PM,18ʡF,16ʡF,93ʡ%,N,6ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Cloudy
1999-1-1-2:56 PM,2:56 PM,19ʡF,16ʡF,88ʡ%,N,3ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Cloudy
