Date,Time,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
2022-5-10-12:53 AM,12:53 AM,71ʡF,61ʡF,70ʡ%,S,14ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Fair
2022-5-10-1:53 AM,1:53 AM,70ʡF,61ʡF,73ʡ%,S,15ʡmph,21ʡmph,29.37ʡin,0.0ʡin,Fair
2022-5-10-2:53 AM,2:53 AM,69ʡF,61ʡF,75ʡ%,S,9ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Fair
2022-5-10-3:53 AM,3:53 AM,69ʡF,62ʡF,78ʡ%,S,3ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Cloudy
2022-5-10-4:53 AM,4:53 AM,68ʡF,62ʡF,81ʡ%,SE,5ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Cloudy
2022-5-10-5:53 AM,5:53 AM,68ʡF,62ʡF,81ʡ%,SSE,7ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Cloudy
2022-5-10-6:53 AM,6:53 AM,68ʡF,62ʡF,81ʡ%,SSE,8ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Cloudy
2022-5-10-7:53 AM,7:53 AM,69ʡF,63ʡF,81ʡ%,S,9ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Cloudy
2022-5-10-8:53 AM,8:53 AM,71ʡF,64ʡF,78ʡ%,S,9ʡmph,0ʡmph,29.48ʡin,0.0ʡin,Cloudy
2022-5-10-9:53 AM,9:53 AM,73ʡF,65ʡF,76ʡ%,S,12ʡmph,0ʡmph,29.49ʡin,0.0ʡin,Cloudy
2022-5-10-10:53 AM,10:53 AM,76ʡF,67ʡF,74ʡ%,S,14ʡmph,21ʡmph,29.49ʡin,0.0ʡin,Mostly Cloudy
2022-5-10-11:53 AM,11:53 AM,80ʡF,69ʡF,69ʡ%,S,13ʡmph,0ʡmph,29.49ʡin,0.0ʡin,Fair
2022-5-10-12:53 PM,12:53 PM,82ʡF,70ʡF,67ʡ%,S,13ʡmph,0ʡmph,29.48ʡin,0.0ʡin,Fair
2022-5-10-1:53 PM,1:53 PM,83ʡF,70ʡF,65ʡ%,SSW,10ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Mostly Cloudy
2022-5-10-2:53 PM,2:53 PM,85ʡF,71ʡF,63ʡ%,SSW,13ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Partly Cloudy
2022-5-10-3:53 PM,3:53 PM,87ʡF,72ʡF,61ʡ%,SSW,10ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Mostly Cloudy
2022-5-10-4:53 PM,4:53 PM,87ʡF,71ʡF,59ʡ%,S,14ʡmph,22ʡmph,29.43ʡin,0.0ʡin,Fair
2022-5-10-5:53 PM,5:53 PM,86ʡF,70ʡF,59ʡ%,S,13ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Mostly Cloudy
2022-5-10-6:53 PM,6:53 PM,86ʡF,70ʡF,59ʡ%,S,15ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Mostly Cloudy
2022-5-10-7:53 PM,7:53 PM,84ʡF,70ʡF,63ʡ%,S,12ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Fair
2022-5-10-8:53 PM,8:53 PM,80ʡF,70ʡF,71ʡ%,S,6ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Fair
2022-5-10-9:53 PM,9:53 PM,76ʡF,69ʡF,79ʡ%,S,3ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Fair
2022-5-10-10:53 PM,10:53 PM,76ʡF,69ʡF,79ʡ%,S,5ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Fair
2022-5-10-11:53 PM,11:53 PM,73ʡF,68ʡF,84ʡ%,SSE,3ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Fair
